Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,-0.1250,-0.0625,0.0625,0.10299134,-0.00917745,0.96363182,15.99951,15.99951,15.11230
2,0.1250,-0.1250,0.1875,0.10503077,-0.00917745,0.96363182,15.99951,15.99951,15.11230
4,0.0625,-0.0625,-0.1250,0.10299134,-0.00815773,0.96567125,15.99951,15.99951,15.11230
6,0.0000,-0.1250,-0.1250,0.10299134,-0.00815773,0.96465148,15.99951,15.99951,15.11230
8,-0.0625,0.0000,-0.1875,0.10401105,-0.01121688,0.96261205,15.99951,15.99951,15.11230
10,0.0000,0.0625,-0.1250,0.10401105,-0.01223659,0.96465148,15.99951,15.99951,15.11230
12,0.1875,0.0000,-0.0625,0.10197162,-0.01121688,0.96363182,15.99951,15.99951,15.11230
14,0.1250,-0.0625,0.0000,0.10197162,-0.01121688,0.96363182,15.99951,15.99951,15.11230
16,0.1250,-0.0625,0.0625,0.10197162,-0.00917745,0.96363182,15.99951,15.99951,15.11230
18,0.0625,-0.0625,0.0625,0.10299134,-0.01019716,0.96669092,15.99951,15.99951,15.11230
20,0.0000,-0.0625,-0.0625,0.10299134,-0.01121688,0.96465148,15.99951,15.99951,15.11230
22,-0.0625,0.1875,-0.1250,0.10299134,-0.00917745,0.96465148,15.99951,15.99951,15.11230
24,0.1250,-0.0625,-0.1875,0.10401105,-0.00917745,0.96261205,15.99951,15.99951,15.11230
26,-0.0625,0.0625,-0.1875,0.10503077,-0.01019716,0.96363182,15.99951,15.99951,15.11230
28,0.1250,-0.2500,0.0625,0.10299134,-0.01121688,0.96465148,15.99951,15.99951,15.11230
30,0.0000,0.0000,-0.0625,0.10197162,-0.00917745,0.96363182,15.99951,15.99951,15.11230
32,0.0625,-0.1250,-0.0625,0.10299134,-0.00917745,0.96669092,15.99951,15.99951,15.11230
34,0.0000,0.0625,-0.1250,0.09993219,-0.01019716,0.96669092,15.99951,15.99951,15.11230
36,0.1250,-0.1875,-0.1250,0.10299134,-0.01223659,0.96363182,15.99951,15.99951,15.11230
38,0.0000,-0.0625,0.0000,0.10299134,-0.00815773,0.96771068,15.99951,15.99951,15.11230
40,0.0000,-0.0625,-0.0625,0.10401105,-0.00917745,0.96159238,15.99951,15.99951,15.11230
42,0.0000,-0.1875,-0.0625,0.10299134,-0.01019716,0.96465148,15.99951,15.99951,15.11230
44,-0.2500,0.3750,-0.5000,0.10299134,-0.00917745,0.96669092,15.99951,15.99951,15.11230
46,-0.1875,0.2500,-0.4375,0.10299134,-0.01121688,0.96057262,15.99951,15.99951,15.11230
48,-0.1875,0.1875,-0.4375,0.10299134,-0.01019716,0.96669092,15.99951,15.99951,15.11230
50,0.0000,0.1250,-0.2500,0.10299134,-0.01121688,0.96669092,15.99951,15.99951,15.11230
52,0.1250,0.0000,-0.0625,0.10503077,-0.01121688,0.96159238,15.99951,15.99951,15.11230
54,0.1875,0.0625,0.0000,0.10299134,-0.01121688,0.96567125,15.99951,15.99951,15.11230
56,0.1875,-0.1250,0.4375,0.10299134,-0.01019716,0.96465148,15.99951,15.99951,15.11230
58,0.0000,0.1875,0.3750,0.10299134,-0.00713801,0.96363182,15.99951,15.99951,15.11230
60,-0.1875,0.4375,0.0000,0.10299134,-0.00917745,0.96465148,15.99951,15.99951,15.11230
62,-0.1875,0.3125,0.0625,0.10197162,-0.00815773,0.96567125,15.99951,15.99951,15.11230
64,-0.1875,0.3125,0.1250,0.10197162,-0.00713801,0.96465148,15.99951,15.99951,15.11230
66,-0.3125,0.5000,0.1875,0.11012936,-0.01223659,0.96465148,15.99951,15.99951,15.11230
68,-0.3125,0.7500,0.2500,0.10707019,-0.00917745,0.96159238,15.99951,15.99951,15.11230
70,-0.1250,0.4375,0.4375,0.10095191,-0.01019716,0.96465148,15.99951,15.99951,15.11230
72,-0.4375,0.5625,0.6250,0.10605049,-0.03059149,0.96159238,15.99951,15.99951,15.11230
74,-0.5625,0.4375,0.8750,0.10095191,-0.00815773,0.96261205,15.99951,15.99951,15.11230
76,-0.3750,0.1250,0.7500,0.10197162,0.00407886,0.96567125,15.99951,15.99951,15.11230
78,-0.6250,0.1250,-0.8750,0.09789276,-0.00101972,0.96771068,15.99951,15.99951,15.11230
80,-2.1875,0.8750,-0.5000,0.09177446,-0.01937461,0.96465148,15.99951,15.99951,15.11230
82,-3.3125,1.5625,-2.5000,0.08361673,0.00611830,0.96975011,15.99951,15.99951,15.11230
84,-3.3750,1.3125,-4.0000,0.05098581,-0.02549290,0.96771068,15.99951,15.99951,15.11230
86,-5.2500,-0.3750,-2.3750,0.15193771,-0.00815773,0.96771068,15.99951,15.99951,15.11230
88,-12.4375,1.5000,-6.8750,0.17029260,0.06832099,0.99422330,15.99951,15.99951,15.11230
90,-39.0000,1.4375,2.1875,0.17131232,0.12338566,0.99830217,15.99951,15.99951,15.11230
92,-51.5000,0.3750,4.4375,0.11624765,-0.02243376,0.97688808,15.99951,15.99951,15.11230
94,-63.4375,-1.9375,12.4375,0.11114907,-0.09279418,0.96057262,15.99951,15.99951,15.11230
96,-57.1250,-2.3750,16.8125,0.11726737,-0.06424212,0.95139522,15.99951,15.99951,15.11230
98,-52.8125,-1.3750,9.4375,0.14581941,-0.09789276,0.95445432,15.99951,15.99951,15.11230
100,-70.5625,-0.6250,-1.7500,0.18354891,-0.08463644,0.98606557,15.99951,15.99951,15.11230
102,-87.9375,0.8750,-5.8125,0.15499686,-0.08667589,1.00238096,15.99951,15.99951,15.11230
104,-99.0625,3.2500,-0.0625,0.39361045,-0.18966721,1.18389045,15.99951,15.99951,15.11230
106,-142.3125,131.1250,19.3750,-0.00203943,-0.21719956,1.01767671,15.99951,15.99951,15.11230
108,-115.0625,44.5625,23.7500,0.10605049,-0.51801581,1.50000247,15.99951,15.99951,15.11230
110,-42.8125,23.0000,2.2500,0.12236596,-0.19680522,1.18694972,15.99951,15.99951,15.11230
112,-45.5000,31.8750,-4.1250,0.03976893,-0.20802209,1.16451585,15.99951,15.99951,15.11230
114,-53.3750,34.1875,-9.4375,-0.00611830,-0.22229812,1.11047101,15.99951,15.99951,15.11230
116,-60.5000,25.1875,-7.5000,0.05812382,-0.34160492,1.28076362,15.99951,15.99951,15.11230
118,-44.0000,27.1250,-10.5000,0.02549290,-0.31407258,1.27668476,15.99951,15.99951,15.11230
120,-43.9375,38.8750,-16.6875,-0.05098581,-0.28552053,1.26954662,15.99951,15.99951,15.11230
122,-46.1875,64.6875,-19.8750,-0.03263092,-0.31101343,1.28280294,15.99951,15.99951,15.11230
124,-42.8125,57.5000,-22.8125,-0.08361673,-0.24983046,1.18796932,15.99951,15.99951,15.11230
126,-51.5000,42.6250,-20.5625,-0.11216878,-0.25288963,1.15125954,15.99951,15.99951,15.11230
128,-83.8750,25.5625,-10.5625,-0.12644481,-0.23045585,1.10945117,15.99951,15.99951,15.11230
130,-89.8125,12.5625,-11.5000,-0.08871531,-0.44969482,1.33480846,15.99951,15.99951,15.11230
132,-102.3125,25.9375,-12.8125,-0.14072083,-0.33548662,1.14718067,15.99951,15.99951,15.11230
134,-105.8750,25.0625,-15.3125,-0.13664197,-0.39972875,1.15737795,15.99951,15.99951,15.11230
136,-120.0625,25.5625,-4.9375,-0.06220269,-0.43847799,1.16451585,15.99951,15.99951,15.11230
138,-125.1875,19.1250,-0.0625,-0.11216878,-0.45785255,1.04826819,15.99951,15.99951,15.11230
140,-124.2500,4.9375,6.0625,-0.18456863,-0.50373983,1.00442051,15.99951,15.99951,15.11230
142,-126.4375,4.0625,16.1250,-0.14174055,-0.47008914,0.93507976,15.99951,15.99951,15.11230
144,-107.8750,0.5000,15.5000,-0.02651262,-0.56696219,1.07376110,15.99951,15.99951,15.11230
146,-73.3750,-4.2500,16.1875,-0.05710411,-0.52923274,1.03807115,15.99951,15.99951,15.11230
148,-61.3125,-10.1250,16.0625,-0.08361673,-0.53535099,0.99320354,15.99951,15.99951,15.11230
150,-61.1250,-25.3750,15.8125,-0.10707019,-0.54146928,0.91876430,15.99951,15.99951,15.11230
152,-47.5625,-25.8750,18.0000,-0.09177446,-0.60163259,0.93507976,15.99951,15.99951,15.11230
154,-23.6875,-17.3125,22.2500,-0.09687304,-0.56594252,0.88511371,15.99951,15.99951,15.11230
156,-12.0625,-14.6875,21.4375,-0.10808991,-0.57511992,0.86879825,15.99951,15.99951,15.11230
158,11.8750,-21.3125,12.6875,-0.07851815,-0.51495671,0.75866885,15.99951,15.99951,15.11230
160,28.6250,-30.0625,2.1875,-0.12032650,-0.54350872,0.71889996,15.99951,15.99951,15.11230
162,42.8750,-34.1250,-3.7500,-0.10401105,-0.59653396,0.70462388,15.99951,15.99951,15.11230
164,51.7500,-32.9375,-7.8750,-0.07036042,-0.56288332,0.66995358,15.99951,15.99951,15.11230
166,58.3750,-29.0000,-14.5000,-0.09177446,-0.58531708,0.66587471,15.99951,15.99951,15.11230
