Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
0,0.0000,-0.0076,0.0000,-0.00012206,0.00756790,0.99986362,15.99951,15.99951,15.11230
2,0.0000,-0.0076,0.0000,-0.00012206,0.00744583,0.99986400,15.99951,15.99951,15.11230
4,0.0000,-0.0076,0.0000,-0.00012206,0.00744583,0.99986400,15.99951,15.99951,15.11230
6,0.0000,-0.0076,0.0000,-0.00012206,0.00732377,0.99986448,15.99951,15.99951,15.11230
8,-0.0076,-0.0076,0.0000,-0.00012206,0.00732377,0.99986448,15.99951,15.99951,15.11230
10,0.0000,-0.0076,0.0000,-0.00012206,0.00720171,0.99986495,15.99951,15.99951,15.11230
12,0.0000,-0.0076,0.0000,-0.00012206,0.00707965,0.99986543,15.99951,15.99951,15.11230
14,0.0000,-0.0076,0.0000,-0.00012206,0.00707965,0.99986543,15.99951,15.99951,15.11230
16,0.0000,-0.0076,0.0000,-0.00012206,0.00695758,0.99986581,15.99951,15.99951,15.11230
18,0.0000,-0.0076,-0.0076,0.00000000,0.00683552,0.99986629,15.99951,15.99951,15.11230
20,0.0000,-0.0076,0.0000,0.00000000,0.00683552,0.99986629,15.99951,15.99951,15.11230
22,0.0000,-0.0076,0.0000,0.00000000,0.00671346,0.99986667,15.99951,15.99951,15.11230
24,-0.0076,0.0000,0.0000,0.00000000,0.00671346,0.99986667,15.99951,15.99951,15.11230
26,0.0000,-0.0076,0.0000,0.00000000,0.00659140,0.99986705,15.99951,15.99951,15.11230
28,0.0000,-0.0076,0.0000,0.00000000,0.00646933,0.99986743,15.99951,15.99951,15.11230
30,0.0000,-0.0076,0.0000,0.00000000,0.00646933,0.99986743,15.99951,15.99951,15.11230
32,0.0000,-0.0076,0.0000,0.00000000,0.00634727,0.99986782,15.99951,15.99951,15.11230
34,0.0000,-0.0076,0.0000,0.00000000,0.00622521,0.99986820,15.99951,15.99951,15.11230
36,0.0000,0.0000,-0.0076,0.00000000,0.00622521,0.99986820,15.99951,15.99951,15.11230
38,0.0000,-0.0076,0.0000,0.00000000,0.00610314,0.99986858,15.99951,15.99951,15.11230
40,0.0000,-0.0076,0.0000,0.00000000,0.00610314,0.99986858,15.99951,15.99951,15.11230
42,0.0000,-0.0076,0.0000,0.00000000,0.00598108,0.99986896,15.99951,15.99951,15.11230
44,0.0000,-0.0076,-0.0076,0.00000000,0.00598108,0.99986896,15.99951,15.99951,15.11230
46,-0.0076,0.0000,-0.0076,0.00000000,0.00585902,0.99986934,15.99951,15.99951,15.11230
48,-0.0076,-0.0076,0.0000,0.00000000,0.00573695,0.99986972,15.99951,15.99951,15.11230
50,0.0000,-0.0076,0.0000,0.00000000,0.00573695,0.99986972,15.99951,15.99951,15.11230
52,0.0000,0.0000,0.0000,0.00000000,0.00573695,0.99986972,15.99951,15.99951,15.11230
54,0.0000,-0.0076,-0.0076,0.00000000,0.00561489,0.99987010,15.99951,15.99951,15.11230
56,0.0000,-0.0076,-0.0076,0.00000000,0.00561489,0.99987010,15.99951,15.99951,15.11230
58,0.0000,-0.0076,0.0000,0.00000000,0.00561489,0.99987010,15.99951,15.99951,15.11230
60,0.0000,-0.0076,0.0000,0.00000000,0.00549283,0.99987039,15.99951,15.99951,15.11230
62,0.0000,-0.0076,0.0000,0.00000000,0.00549283,0.99987039,15.99951,15.99951,15.11230
64,0.0000,-0.0076,0.0000,0.00000000,0.00549283,0.99987039,15.99951,15.99951,15.11230
66,0.0000,-0.0076,0.0000,0.00012206,0.00537077,0.99987068,15.99951,15.99951,15.11230
68,0.0000,-0.0076,0.0000,0.00012206,0.00537077,0.99987068,15.99951,15.99951,15.11230
70,0.0000,-0.0076,0.0000,0.00012206,0.00524870,0.99987106,15.99951,15.99951,15.11230
72,0.0000,-0.0076,-0.0076,0.00012206,0.00524870,0.99987106,15.99951,15.99951,15.11230
74,0.0000,-0.0076,-0.0076,0.00012206,0.00512664,0.99987134,15.99951,15.99951,15.11230
76,0.0000,0.0000,-0.0076,0.00012175,0.00512665,0.99987134,15.99951,15.99951,15.11230
78,0.0000,-0.0076,-0.0153,-0.00000160,0.00524870,0.99987115,15.99951,15.99951,15.11230
80,-0.0076,0.0000,-0.0153,-0.00012508,0.00549276,0.99987068,15.99951,15.99951,15.11230
82,0.0000,0.0000,-0.0076,-0.00012626,0.00573687,0.99987020,15.99951,15.99951,15.11230
84,-0.0076,0.0000,0.0000,-0.00000328,0.00537077,0.99987106,15.99951,15.99951,15.11230
86,0.0000,-0.0076,0.0076,0.00011938,0.00549289,0.99987058,15.99951,15.99951,15.11230
88,-0.0076,0.0000,0.0076,0.00012206,0.00549283,0.99987039,15.99951,15.99951,15.11230
90,-0.0076,0.0000,0.0076,0.00000192,0.00524870,0.99987115,15.99951,15.99951,15.11230
92,-0.0076,0.0000,0.0000,0.00000275,0.00500458,0.99987201,15.99951,15.99951,15.11230
94,-0.0076,-0.0076,0.0000,0.00000298,0.00488251,0.99987230,15.99951,15.99951,15.11230
96,-0.0076,0.0000,0.0000,0.00000349,0.00476045,0.99987277,15.99951,15.99951,15.11230
98,0.0000,-0.0076,0.0000,0.00000331,0.00451633,0.99987335,15.99951,15.99951,15.11230
100,-0.0076,-0.0076,0.0000,0.00000358,0.00451633,0.99987344,15.99951,15.99951,15.11230
102,-0.0076,-0.0076,-0.0076,0.00012555,0.00439417,0.99987373,15.99951,15.99951,15.11230
104,-0.0076,0.0000,0.0000,0.00012545,0.00427210,0.99987401,15.99951,15.99951,15.11230
106,-0.0076,-0.0076,-0.0076,0.00012519,0.00427211,0.99987392,15.99951,15.99951,15.11230
108,-0.0076,-0.0076,-0.0076,0.00012485,0.00415006,0.99987411,15.99951,15.99951,15.11230
110,0.0000,-0.0076,-0.0076,0.00012485,0.00415006,0.99987411,15.99951,15.99951,15.11230
112,0.0000,0.0000,-0.0305,0.00036720,0.00415005,0.99987363,15.99951,15.99951,15.11230
114,-0.0153,0.0305,-0.0763,-0.00012778,0.00390583,0.99987621,15.99951,15.99951,15.11230
116,-0.2824,0.1985,-0.0992,-0.01083677,-0.00590875,0.99986085,15.99951,15.99951,15.11230
118,-0.4962,0.0458,0.0229,-0.01825064,-0.03511900,0.99914569,15.99951,15.99951,15.11230
120,-0.5420,0.0458,0.0382,-0.01989144,-0.05474931,0.99819383,15.99951,15.99951,15.11230
122,-0.4275,0.2061,0.0000,-0.02953839,-0.09228020,0.99522027,15.99951,15.99951,15.11230
124,-0.1756,0.1908,0.0534,-0.04339719,-0.11611236,0.99224977,15.99951,15.99951,15.11230
126,-0.0076,0.0687,0.1069,-0.05076997,-0.12495987,0.99079742,15.99951,15.99951,15.11230
128,0.0687,0.0687,0.0534,-0.05191249,-0.12605009,0.99058170,15.99951,15.99951,15.11230
130,0.0534,0.0076,0.0305,-0.05039285,-0.12554965,0.99077711,15.99951,15.99951,15.11230
132,-0.0382,-0.1145,-0.0153,-0.03911184,-0.12703751,0.99106044,15.99951,15.99951,15.11230
134,-0.1221,-0.1145,-0.1298,-0.02379837,-0.13189487,0.99097757,15.99951,15.99951,15.11230
136,-0.1069,-0.1527,-0.1679,-0.01457964,-0.13387502,0.99081611,15.99951,15.99951,15.11230
